100 тестов каждого вида выборок, выборки генерируются заново в цикле
 №   | выборка, чел | последовательно | параллельно   | разность, сек | %
------------------------------------------------------------------------------
 1   | 100          | 0,0100048       | 0,0115396     | -0,0015348    | 15,3 
 2   | 100          | 0,0004562       | 0,0025683     | -0,0021121    | 463,0 
 3   | 100          | 0,0002879       | 0,0011280     | -0,0008401    | 291,8 
 4   | 100          | 0,0003984       | 0,0017757     | -0,0013773    | 345,7 
 5   | 100          | 0,0001390       | 0,0012956     | -0,0011566    | 832,1 
 6   | 100          | 0,0001386       | 0,0018694     | -0,0017308    | 1248,8 
 7   | 100          | 0,0001429       | 0,0010034     | -0,0008605    | 602,2 
 8   | 100          | 0,0002880       | 0,0009737     | -0,0006857    | 238,1 
 9   | 100          | 0,0000922       | 0,0010707     | -0,0009785    | 1061,3 
 10  | 100          | 0,0001595       | 0,0007874     | -0,0006279    | 393,7 
 11  | 100          | 0,0000845       | 0,0010940     | -0,0010095    | 1194,7 
 12  | 100          | 0,0000741       | 0,0006831     | -0,0006090    | 821,9 
 13  | 100          | 0,0000617       | 0,0004890     | -0,0004273    | 692,5 
 14  | 100          | 0,0000610       | 0,0003477     | -0,0002867    | 470,0 
 15  | 100          | 0,0000777       | 0,0004743     | -0,0003966    | 510,4 
 16  | 100          | 0,0000722       | 0,0003490     | -0,0002768    | 383,4 
 17  | 100          | 0,0000646       | 0,0003431     | -0,0002785    | 431,1 
 18  | 100          | 0,0000671       | 0,0003274     | -0,0002603    | 387,9 
 19  | 100          | 0,0001846       | 0,0004651     | -0,0002805    | 152,0 
 20  | 100          | 0,0000896       | 0,0003856     | -0,0002960    | 330,4 
 21  | 100          | 0,0000657       | 0,0007812     | -0,0007155    | 1089,0 
 22  | 100          | 0,0000691       | 0,0005899     | -0,0005208    | 753,7 
 23  | 100          | 0,0000602       | 0,0004934     | -0,0004332    | 719,6 
 24  | 100          | 0,0000707       | 0,0009852     | -0,0009145    | 1293,5 
 25  | 100          | 0,0000863       | 0,0009479     | -0,0008616    | 998,4 
 26  | 100          | 0,0000684       | 0,0007036     | -0,0006352    | 928,7 
 27  | 100          | 0,0000723       | 0,0002801     | -0,0002078    | 287,4 
 28  | 100          | 0,0000736       | 0,0003999     | -0,0003263    | 443,3 
 29  | 100          | 0,0000616       | 0,0005128     | -0,0004512    | 732,5 
 30  | 100          | 0,0000706       | 0,0005412     | -0,0004706    | 666,6 
 31  | 100          | 0,0000874       | 0,0005492     | -0,0004618    | 528,4 
 32  | 100          | 0,0000875       | 0,0005067     | -0,0004192    | 479,1 
 33  | 100          | 0,0000588       | 0,0005480     | -0,0004892    | 832,0 
 34  | 100          | 0,0000912       | 0,0007964     | -0,0007052    | 773,2 
 35  | 100          | 0,0000669       | 0,0003044     | -0,0002375    | 355,0 
 36  | 100          | 0,0000748       | 0,0005786     | -0,0005038    | 673,5 
 37  | 100          | 0,0000998       | 0,0005015     | -0,0004017    | 402,5 
 38  | 100          | 0,0001047       | 0,0002857     | -0,0001810    | 172,9 
 39  | 100          | 0,0000509       | 0,0002290     | -0,0001781    | 349,9 
 40  | 100          | 0,0000585       | 0,0004617     | -0,0004032    | 689,2 
 41  | 100          | 0,0000724       | 0,0004735     | -0,0004011    | 554,0 
 42  | 100          | 0,0000749       | 0,0002887     | -0,0002138    | 285,4 
 43  | 100          | 0,0000651       | 0,0007972     | -0,0007321    | 1124,6 
 44  | 100          | 0,0000667       | 0,0004552     | -0,0003885    | 582,5 
 45  | 100          | 0,0000627       | 0,0003935     | -0,0003308    | 527,6 
 46  | 100          | 0,0000792       | 0,0004190     | -0,0003398    | 429,0 
 47  | 100          | 0,0000738       | 0,0004957     | -0,0004219    | 571,7 
 48  | 100          | 0,0000589       | 0,0004469     | -0,0003880    | 658,7 
 49  | 100          | 0,0000710       | 0,0005037     | -0,0004327    | 609,4 
 50  | 100          | 0,0000653       | 0,0004000     | -0,0003347    | 512,6 
